"Web Search interest: ""ankle orthosis""+""ankle orthoses""+""ankle orthotic""+""ankle orthotics""+""ankle foot orthosis"" ""ankle foot orthoses""+""ankle foot orthotic""+""ankle foot orthotics""+""ankle splint""+""ankle splints""+""ankle brace""+""ankle braces""",
Australia; 2004 - present,
,
Interest over time,
Month,"ankle orthosis+""ankle orthoses""+""ankle orthotic""+""ankle orthotics""+""ankle foot orthosis"" ""ankle foot orthoses""+""ankle foot orthotic""+""ankle foot orthotics""+""ankle splint""+""ankle splints""+""ankle brace""+""ankle braces"""
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,52
2008-11,56
2008-12,60
2009-01,64
2009-02,69
2009-03,74
2009-04,77
2009-05,80
2009-06,82
2009-07,62
2009-08,62
2009-09,62
2009-10,62
2009-11,62
2009-12,59
2010-01,59
2010-02,59
2010-03,47
2010-04,57
2010-05,67
2010-06,100
2010-07,77
2010-08,39
2010-09,39
2010-10,39
2010-11,42
2010-12,45
2011-01,49
2011-02,52
2011-03,49
2011-04,68
2011-05,66
2011-06,63
2011-07,45
2011-08,57
2011-09,52
2011-10,59
2011-11,55
2011-12,32
2012-01,57
2012-02,49
2012-03,52
2012-04,68
2012-05,73
2012-06,64
2012-07,60
2012-08,35
2012-09,39
2012-10,48
2012-11,62
2012-12,37
2013-01,68
2013-02,59
2013-03,62
2013-04,61
2013-05,79
2013-06,65
2013-07,60
2013-08,56
2013-09,42
2013-10,59
2013-11,64
2013-12,40
2014-01,50
2014-02,52
2014-03,60
2014-04,72
2014-05,91
2014-06,46
2014-07,57
2014-08,64
2014-09,47
2014-10,81
2014-11,62
2014-12,74
,
,
"Top subregions for ""ankle orthosis""+""ankle orthoses""+""ankle orthotic""+""ankle orthotics""+""ankle foot orthosis"" ""ankle foot orthoses""+""ankle foot orthotic""+""ankle foot orthotics""+""ankle splint""+""ankle splints""+""ankle brace""+""ankle braces""",
Subregion,"ankle orthosis+""ankle orthoses""+""ankle orthotic""+""ankle orthotics""+""ankle foot orthosis"" ""ankle foot orthoses""+""ankle foot orthotic""+""ankle foot orthotics""+""ankle splint""+""ankle splints""+""ankle brace""+""ankle braces"""
South Australia,100
Victoria,79
Western Australia,71
Queensland,60
New South Wales,51
Australian Capital Territory,0
Northern Territory,0
Tasmania,0
,
,
"Top cities for ""ankle orthosis""+""ankle orthoses""+""ankle orthotic""+""ankle orthotics""+""ankle foot orthosis"" ""ankle foot orthoses""+""ankle foot orthotic""+""ankle foot orthotics""+""ankle splint""+""ankle splints""+""ankle brace""+""ankle braces""",
City,"ankle orthosis+""ankle orthoses""+""ankle orthotic""+""ankle orthotics""+""ankle foot orthosis"" ""ankle foot orthoses""+""ankle foot orthotic""+""ankle foot orthotics""+""ankle splint""+""ankle splints""+""ankle brace""+""ankle braces"""
Melbourne,100
Brisbane,81
Sydney,63
,
,
,
"Top searches for ""ankle orthosis""+""ankle orthoses""+""ankle orthotic""+""ankle orthotics""+""ankle foot orthosis"" ""ankle foot orthoses""+""ankle foot orthotic""+""ankle foot orthotics""+""ankle splint""+""ankle splints""+""ankle brace""+""ankle braces""",
aso,100
aso ankle brace,90
ankle brace australia,45
ankle support,35
,
,
,
"Rising searches for ""ankle orthosis""+""ankle orthoses""+""ankle orthotic""+""ankle orthotics""+""ankle foot orthosis"" ""ankle foot orthoses""+""ankle foot orthotic""+""ankle foot orthotics""+""ankle splint""+""ankle splints""+""ankle brace""+""ankle braces""",
ankle brace australia,Breakout
ankle support,Breakout
aso,Breakout
aso ankle brace,Breakout
