"Web Search interest: ""foot orthotic""+""foot orthotics""+""foot orthosis""+""foot orthoses""",
United Kingdom; 2004 - present,
,
Interest over time,
Month,"foot orthotic+""foot orthotics""+""foot orthosis""+""foot orthoses"""
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,100
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,0
2009-11,0
2009-12,0
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,23
2011-04,24
2011-05,25
2011-06,26
2011-07,26
2011-08,25
2011-09,21
2011-10,21
2011-11,21
2011-12,19
2012-01,19
2012-02,19
2012-03,18
2012-04,18
2012-05,18
2012-06,22
2012-07,26
2012-08,21
2012-09,18
2012-10,18
2012-11,19
2012-12,16
2013-01,16
2013-02,19
2013-03,23
2013-04,18
2013-05,18
2013-06,18
2013-07,18
2013-08,16
2013-09,16
2013-10,16
2013-11,17
2013-12,16
2014-01,16
2014-02,12
2014-03,12
2014-04,17
2014-05,19
2014-06,22
2014-07,24
2014-08,17
2014-09,17
2014-10,14
2014-11,14
2014-12,0
,
,
"Top subregions for ""foot orthotic""+""foot orthotics""+""foot orthosis""+""foot orthoses""",
Subregion,"foot orthotic+""foot orthotics""+""foot orthosis""+""foot orthoses"""
England,100
Northern Ireland,0
Scotland,0
Wales,0
,
,
"Top cities for ""foot orthotic""+""foot orthotics""+""foot orthosis""+""foot orthoses""",
City,"foot orthotic+""foot orthotics""+""foot orthosis""+""foot orthoses"""
London,100
,
,
,
"Top searches for ""foot orthotic""+""foot orthotics""+""foot orthosis""+""foot orthoses""",
ankle foot orthosis,100
,
,
,
"Rising searches for ""foot orthotic""+""foot orthotics""+""foot orthosis""+""foot orthoses""",
ankle foot orthosis,Breakout
