"Web Search interest: ""foot surgery""+""surgery on feet""+""surgical operation foot""+""surgical operations foot""+""surgical operations feet""",
United Kingdom; 2004 - present,
,
Interest over time,
Month,"foot surgery+""surgery on feet""+""surgical operation foot""+""surgical operations foot""+""surgical operations feet"""
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,0
2007-11,79
2007-12,81
2008-01,83
2008-02,79
2008-03,79
2008-04,79
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,0
2008-11,0
2008-12,0
2009-01,0
2009-02,100
2009-03,72
2009-04,72
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,79
2009-11,69
2009-12,69
2010-01,69
2010-02,69
2010-03,44
2010-04,68
2010-05,46
2010-06,68
2010-07,49
2010-08,49
2010-09,61
2010-10,73
2010-11,40
2010-12,39
2011-01,39
2011-02,49
2011-03,63
2011-04,42
2011-05,44
2011-06,77
2011-07,58
2011-08,57
2011-09,52
2011-10,49
2011-11,59
2011-12,59
2012-01,51
2012-02,70
2012-03,52
2012-04,47
2012-05,74
2012-06,89
2012-07,80
2012-08,62
2012-09,40
2012-10,55
2012-11,36
2012-12,27
2013-01,50
2013-02,54
2013-03,57
2013-04,51
2013-05,61
2013-06,60
2013-07,53
2013-08,67
2013-09,61
2013-10,38
2013-11,48
2013-12,49
2014-01,52
2014-02,51
2014-03,78
2014-04,74
2014-05,82
2014-06,62
2014-07,64
2014-08,56
2014-09,81
2014-10,45
2014-11,51
2014-12,90
,
,
"Top subregions for ""foot surgery""+""surgery on feet""+""surgical operation foot""+""surgical operations foot""+""surgical operations feet""",
Subregion,"foot surgery+""surgery on feet""+""surgical operation foot""+""surgical operations foot""+""surgical operations feet"""
England,100
Northern Ireland,0
Scotland,0
Wales,0
,
,
"Top cities for ""foot surgery""+""surgery on feet""+""surgical operation foot""+""surgical operations foot""+""surgical operations feet""",
City,"foot surgery+""surgery on feet""+""surgical operation foot""+""surgical operations foot""+""surgical operations feet"""
London,100
